Category: All categories

Week,mental health: (United States)
2018-01-28,44
2018-02-04,42
2018-02-11,55
2018-02-18,52
2018-02-25,50
2018-03-04,48
2018-03-11,44
2018-03-18,47
2018-03-25,42
2018-04-01,43
2018-04-08,45
2018-04-15,48
2018-04-22,49
2018-04-29,51
2018-05-06,48
2018-05-13,48
2018-05-20,42
2018-05-27,38
2018-06-03,50
2018-06-10,46
2018-06-17,41
2018-06-24,38
2018-07-01,34
2018-07-08,40
2018-07-15,40
2018-07-22,41
2018-07-29,38
2018-08-05,40
2018-08-12,43
2018-08-19,40
2018-08-26,42
2018-09-02,41
2018-09-09,49
2018-09-16,52
2018-09-23,53
2018-09-30,52
2018-10-07,72
2018-10-14,52
2018-10-21,51
2018-10-28,56
2018-11-04,54
2018-11-11,49
2018-11-18,34
2018-11-25,52
2018-12-02,55
2018-12-09,46
2018-12-16,42
2018-12-23,29
2018-12-30,35
2019-01-06,47
2019-01-13,46
2019-01-20,46
2019-01-27,48
2019-02-03,51
2019-02-10,53
2019-02-17,49
2019-02-24,53
2019-03-03,50
2019-03-10,49
2019-03-17,49
2019-03-24,50
2019-03-31,55
2019-04-07,57
2019-04-14,52
2019-04-21,57
2019-04-28,70
2019-05-05,60
2019-05-12,57
2019-05-19,52
2019-05-26,44
2019-06-02,45
2019-06-09,44
2019-06-16,45
2019-06-23,44
2019-06-30,36
2019-07-07,45
2019-07-14,45
2019-07-21,46
2019-07-28,44
2019-08-04,51
2019-08-11,46
2019-08-18,46
2019-08-25,48
2019-09-01,50
2019-09-08,55
2019-09-15,57
2019-09-22,57
2019-09-29,59
2019-10-06,79
2019-10-13,56
2019-10-20,60
2019-10-27,55
2019-11-03,59
2019-11-10,56
2019-11-17,58
2019-11-24,36
2019-12-01,56
2019-12-08,51
2019-12-15,45
2019-12-22,29
2019-12-29,35
2020-01-05,49
2020-01-12,56
2020-01-19,54
2020-01-26,57
2020-02-02,53
2020-02-09,57
2020-02-16,57
2020-02-23,60
2020-03-01,56
2020-03-08,49
2020-03-15,45
2020-03-22,44
2020-03-29,47
2020-04-05,48
2020-04-12,46
2020-04-19,48
2020-04-26,54
2020-05-03,56
2020-05-10,53
2020-05-17,51
2020-05-24,51
2020-05-31,45
2020-06-07,50
2020-06-14,49
2020-06-21,48
2020-06-28,46
2020-07-05,49
2020-07-12,50
2020-07-19,52
2020-07-26,51
2020-08-02,47
2020-08-09,48
2020-08-16,48
2020-08-23,51
2020-08-30,53
2020-09-06,53
2020-09-13,58
2020-09-20,60
2020-09-27,56
2020-10-04,73
2020-10-11,62
2020-10-18,58
2020-10-25,52
2020-11-01,44
2020-11-08,54
2020-11-15,56
2020-11-22,37
2020-11-29,50
2020-12-06,50
2020-12-13,47
2020-12-20,31
2020-12-27,33
2021-01-03,44
2021-01-10,50
2021-01-17,48
2021-01-24,54
2021-01-31,56
2021-02-07,56
2021-02-14,52
2021-02-21,58
2021-02-28,58
2021-03-07,55
2021-03-14,51
2021-03-21,53
2021-03-28,52
2021-04-04,57
2021-04-11,55
2021-04-18,58
2021-04-25,61
2021-05-02,70
2021-05-09,66
2021-05-16,63
2021-05-23,57
2021-05-30,53
2021-06-06,54
2021-06-13,51
2021-06-20,48
2021-06-27,49
2021-07-04,43
2021-07-11,51
2021-07-18,48
2021-07-25,57
2021-08-01,52
2021-08-08,48
2021-08-15,48
2021-08-22,52
2021-08-29,55
2021-09-05,56
2021-09-12,60
2021-09-19,62
2021-09-26,63
2021-10-03,64
2021-10-10,71
2021-10-17,65
2021-10-24,62
2021-10-31,65
2021-11-07,67
2021-11-14,65
2021-11-21,46
2021-11-28,68
2021-12-05,64
2021-12-12,56
2021-12-19,34
2021-12-26,38
2022-01-02,53
2022-01-09,60
2022-01-16,55
2022-01-23,66
2022-01-30,69
2022-02-06,73
2022-02-13,77
2022-02-20,71
2022-02-27,75
2022-03-06,73
2022-03-13,70
2022-03-20,70
2022-03-27,78
2022-04-03,78
2022-04-10,74
2022-04-17,80
2022-04-24,88
2022-05-01,100
2022-05-08,86
2022-05-15,80
2022-05-22,80
2022-05-29,66
2022-06-05,71
2022-06-12,64
2022-06-19,63
2022-06-26,61
2022-07-03,56
2022-07-10,62
2022-07-17,62
2022-07-24,61
2022-07-31,63
2022-08-07,59
2022-08-14,61
2022-08-21,66
2022-08-28,67
2022-09-04,64
2022-09-11,73
2022-09-18,76
2022-09-25,76
2022-10-02,77
2022-10-09,88
2022-10-16,75
2022-10-23,77
2022-10-30,73
2022-11-06,71
2022-11-13,75
2022-11-20,53
2022-11-27,81
2022-12-04,79
2022-12-11,71
2022-12-18,48
2022-12-25,45
2023-01-01,62
2023-01-08,71
2023-01-15,75
